fattening_day,wts,yr,doy,rad,mint,maxt,vpr,wind,rain,aha,okta,is_observed,source_day,updated_at,season_start_date
108,1,1998,108,9688,2.9,8.9,0.738,5.3,3.4,0.466740365,6.829557295,1,108,2026-04-28T16:35:19Z,1998-01-01
109,1,1998,109,14414,3.6,11.9,0.803,1.6,2,0.463862624,5.305533838,1,109,2026-04-28T16:35:19Z,1998-01-01
110,1,1998,110,13934,3.2,14.5,0.968,2.4,1,0.461069968,5.472348433,1,110,2026-04-28T16:35:19Z,1998-01-01
111,1,1998,111,20450,6.2,19.9,1.078,1.6,0,0.458360066,2.832679165,1,111,2026-04-28T16:35:19Z,1998-01-01
112,1,1998,112,23374,5.8,22.3,0.993,2.3,0,0.455730671,1.554370411,1,112,2026-04-28T16:35:19Z,1998-01-01
113,1,1998,113,19766,8.3,19.5,1.133,2.8,0,0.453179608,3.245883707,1,113,2026-04-28T16:35:19Z,1998-01-01
114,1,1998,114,11526,8.8,16.2,1.043,2.6,0,0.463429149,6.371676005,1,114,2026-04-28T16:35:19Z,1998-01-01
115,1,1998,115,15072,8.2,19.2,1.243,2.1,6,0.460806845,5.183341196,1,115,2026-04-28T16:35:19Z,1998-01-01
116,1,1998,116,9115,11.5,16.1,1.323,2.8,52,0.458264942,7.064860062,1,116,2026-04-28T16:35:19Z,1998-01-01
117,1,1998,117,10507,5.5,11,0.938,3.4,6,0.455801274,6.749712215,1,117,2026-04-28T16:35:19Z,1998-01-01
118,1,1998,118,17269,5.5,14.7,0.863,1.7,0.4,0.453413747,4.604289098,1,118,2026-04-28T16:35:19Z,1998-01-01
119,1,1998,119,14658,1.3,15.7,0.928,1.8,4.2,0.45110034,5.53548901,1,119,2026-04-28T16:35:19Z,1998-01-01
120,1,1998,120,11071,8.7,16,1.178,1.8,10,0.4488591,6.614564721,1,120,2026-04-28T16:35:19Z,1998-01-01
121,1,1998,121,13183,7.4,16.1,1.153,2,0,0.446688144,6.014283485,1,121,2026-04-28T16:35:19Z,1998-01-01
122,1,1998,122,12472,8.8,15,1.173,2.1,1,0.444585649,6.249076216,1,122,2026-04-28T16:35:19Z,1998-01-01
123,1,1998,123,10854,7.2,14.1,1.128,4.2,0,0.442549859,6.734313359,1,123,2026-04-28T16:35:19Z,1998-01-01
124,1,1998,124,11880,8.9,12.5,0.943,6,0,0.440579076,6.496661773,1,124,2026-04-28T16:35:19Z,1998-01-01
125,1,1998,125,17384,3,15.1,0.918,3.2,0,0.450340943,4.798882615,1,125,2026-04-28T16:35:19Z,1998-01-01
126,1,1998,126,13745,9.3,15.6,0.983,3,0,0.448324705,5.989509948,1,126,2026-04-28T16:35:19Z,1998-01-01
127,1,1998,127,26564,4.9,20.9,0.998,1.6,0,0.446375327,1.122297363,1,127,2026-04-28T16:35:19Z,1998-01-01
128,1,1998,128,23316,7.6,24.4,0.983,4.3,0,0.444491132,2.619643994,1,128,2026-04-28T16:35:19Z,1998-01-01
129,1,1998,129,24564,9.3,25.9,1.068,2.1,0,0.442670499,2.097595034,1,129,2026-04-28T16:35:19Z,1998-01-01
130,1,1998,130,26927,7.6,27.6,1.163,1.8,0,0.440911866,1.043964497,1,130,2026-04-28T16:35:19Z,1998-01-01
131,1,1998,131,26345,10.4,28.5,1.238,1.9,0,0.439213724,1.328963142,1,131,2026-04-28T16:35:19Z,1998-01-01
132,1,1998,132,25365,10.8,27.6,1.278,1.8,0,0.437574618,1.800990513,1,132,2026-04-28T16:35:19Z,1998-01-01
133,1,1998,133,19642,11.4,26.6,1.413,1.6,0,0.435993145,4.102718949,1,133,2026-04-28T16:35:19Z,1998-01-01
134,1,1998,134,22466,11.8,28.2,1.558,2.4,0,0.434467955,3.001220608,1,134,2026-04-28T16:35:19Z,1998-01-01
135,1,1998,135,26154,13.6,24.5,1.273,3.4,0,0.432997745,1.599347096,1,135,2026-04-28T16:35:19Z,1998-01-01
136,1,1998,136,28330,9.1,20.5,1.003,4,0,0.442558373,0.821201517,1,136,2026-04-28T16:35:19Z,1998-01-01
137,1,1998,137,23411,6.6,20.7,0.938,3.9,0,0.441066499,2.975116231,1,137,2026-04-28T16:35:19Z,1998-01-01
138,1,1998,138,28587,6.3,20.8,0.953,3.7,0,0.439631499,0.834834436,1,138,2026-04-28T16:35:19Z,1998-01-01
139,1,1998,139,28314,6.3,22.7,1.013,2.5,0,0.438252101,0.966583969,1,139,2026-04-28T16:35:19Z,1998-01-01
140,1,1998,140,27973,7,23.2,1.113,2.3,0,0.436927082,1.104349649,1,140,2026-04-28T16:35:19Z,1998-01-01
141,1,1998,141,24837,9.8,22.6,1.198,3.1,0,0.435655264,2.430275681,1,141,2026-04-28T16:35:19Z,1998-01-01
142,1,1998,142,20498,11.5,18.6,0.998,3.8,0,0.434435517,4.168405153,1,142,2026-04-28T16:35:19Z,1998-01-01
143,1,1998,143,27532,3.8,18.2,0.823,2.9,0,0.433266755,1.582307953,1,143,2026-04-28T16:35:19Z,1998-01-01
144,1,1998,144,21450,4.9,18.9,0.943,3.1,0,0.432147936,3.900790743,1,144,2026-04-28T16:35:19Z,1998-01-01
145,1,1998,145,17821,6,20.4,1.093,2,0,0.431078065,5.083238649,1,145,2026-04-28T16:35:19Z,1998-01-01
146,1,1998,146,12651,9.6,19,1.213,2.3,1,0.430056185,6.545803182,1,146,2026-04-28T16:35:19Z,1998-01-01
147,1,1998,147,11546,11.3,19.3,1.278,2.1,4,0.429081385,6.821575524,1,147,2026-04-28T16:35:19Z,1998-01-01
148,1,1998,148,10171,11.4,14.9,1.368,1.8,6,0.428152795,7.142850564,1,148,2026-04-28T16:35:19Z,1998-01-01
149,1,1998,149,18091,10.5,19,1.243,1.5,0,0.427269586,5.020419764,1,149,2026-04-28T16:35:19Z,1998-01-01
150,1,1998,150,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,1,150,2026-04-28T16:35:19Z,1998-01-01
151,1,1998,151,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
152,1,1998,152,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
153,1,1998,153,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
154,1,1998,154,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
155,1,1998,155,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314,0,150,2026-04-28T16:35:19Z,1998-01-01
