reference_id,kind,simulator_score,P1,P2,P3,P4,P5,final_TBW,mean_ADG,total_feed_intake,mean_FE,final_beef_production,mean_heat_production,mean_heat_stress,mean_cold_stress
R075,monotonic_mixed_program,0.759282,1,2,3,5,5,907.505027,0.8559,8049.074596,0.290994,480.301609,6.061785,1.116,0.3255
R142,monotonic_mixed_program,0.759181,4,5,5,5,5,907.505027,0.858913,7869.736722,0.288246,480.301609,6.084405,1.1025,0.3465
R138,monotonic_mixed_program,0.759131,3,5,5,5,5,907.505027,0.864792,7880.81719,0.287982,480.301609,6.075782,1.125,0.329
R072,monotonic_mixed_program,0.758005,1,2,3,3,5,907.505027,0.856498,8103.722835,0.290711,480.301609,6.064627,1.134,0.3255
R084,monotonic_mixed_program,0.757937,1,3,3,5,5,907.505027,0.856254,8051.358522,0.289752,480.301609,6.063309,1.1205,0.3255
R133,monotonic_mixed_program,0.757622,3,3,5,5,5,907.505027,0.864877,7883.300783,0.286618,480.301609,6.075571,1.1295,0.329
R081,monotonic_mixed_program,0.756661,1,3,3,3,5,907.505027,0.856852,8106.006762,0.289469,480.301609,6.066152,1.1385,0.3255
R005,baseline_full_diet,0.755548,5,5,5,5,5,907.505027,0.864505,7874.365386,0.283713,480.301609,6.078556,1.1025,0.343
R070,monotonic_mixed_program,0.755313,1,2,3,3,3,905.784376,0.856612,8218.701187,0.290011,478.952169,6.06525,1.134,0.3255
R062,monotonic_mixed_program,0.754725,1,2,2,2,4,871.00047,0.861217,7347.559762,0.297002,452.443162,6.095617,1.1205,0.3465
R006,single_phase_swap,0.753968,1,3,3,3,3,905.784376,0.856966,8220.985113,0.288769,478.952169,6.066775,1.1385,0.3255
R002,baseline_full_diet,0.753956,2,2,2,2,2,907.414745,0.864415,7834.678257,0.282321,480.212519,6.076856,1.1205,0.343
R126,monotonic_mixed_program,0.753953,2,5,5,5,5,907.505027,0.864656,7874.778795,0.282098,480.301609,6.078611,1.1025,0.343
R096,monotonic_mixed_program,0.753882,2,2,2,2,5,907.505027,0.86441,7842.800558,0.282283,480.301609,6.076822,1.1205,0.343
R112,monotonic_mixed_program,0.753788,2,2,5,5,5,907.505027,0.864386,7874.978461,0.281976,480.301609,6.076876,1.1025,0.343
R017,single_phase_swap,0.753653,3,3,5,3,3,905.784376,0.865588,8052.927374,0.285635,478.952169,6.079037,1.1475,0.329
R102,monotonic_mixed_program,0.753468,2,2,2,5,5,907.505027,0.864385,7865.715048,0.282103,480.301609,6.076671,1.1205,0.343
R015,single_phase_swap,0.753333,3,3,2,3,3,905.784376,0.865587,8043.663961,0.285762,478.952169,6.078832,1.1655,0.329
R065,monotonic_mixed_program,0.753035,1,2,2,3,4,871.00047,0.86179,7425.122491,0.296539,452.443162,6.09831,1.1385,0.3465
R121,monotonic_mixed_program,0.752444,2,3,5,5,5,907.505027,0.86474,7877.262388,0.280734,480.301609,6.078401,1.107,0.343
R099,monotonic_mixed_program,0.752192,2,2,2,3,5,907.505027,0.864982,7920.363287,0.281819,480.301609,6.079514,1.1385,0.343
R129,monotonic_mixed_program,0.752088,3,3,3,5,5,907.505027,0.862073,8063.570858,0.28371,480.301609,6.054526,1.143,0.308
R094,monotonic_mixed_program,0.751189,2,2,2,2,3,905.784376,0.864524,7957.77891,0.281583,478.952169,6.077445,1.1205,0.343
R023,single_phase_swap,0.750886,3,3,3,3,2,907.414745,0.862675,8110.096796,0.283465,480.212519,6.057402,1.161,0.308
R025,single_phase_swap,0.750812,3,3,3,3,5,907.505027,0.86267,8118.219097,0.283427,480.301609,6.057368,1.161,0.308
R019,single_phase_swap,0.749809,3,3,3,2,3,905.784376,0.862212,8155.63472,0.283191,478.952169,6.055299,1.143,0.308
R013,single_phase_swap,0.749629,3,5,3,3,3,905.784376,0.8627,8230.713857,0.284091,478.952169,6.058202,1.1565,0.308
