abrupt_actuator_changes,actuator_command_changes,comfort_error_max,comfort_error_mean,comfort_error_min,context_counts_json,dominant_climate_context_id,electric_kw_max,electric_kw_mean,electric_kw_min,energy_cost_max,energy_cost_mean,energy_cost_min,first_timestamp,gas_kw_max,gas_kw_mean,gas_kw_min,heating_group_pct_max,heating_group_pct_mean,heating_group_pct_min,heating_ventilation_conflict_penalty_max,heating_ventilation_conflict_penalty_mean,heating_ventilation_conflict_penalty_min,indoor_air_speed_m_s_max,indoor_air_speed_m_s_mean,indoor_air_speed_m_s_min,indoor_rh_pct_max,indoor_rh_pct_mean,indoor_rh_pct_min,indoor_temp_c_max,indoor_temp_c_mean,indoor_temp_c_min,last_timestamp,lct_c_max,lct_c_mean,lct_c_min,learning_elapsed_sec_max,learning_elapsed_sec_mean,learning_elapsed_sec_min,light_on_max,light_on_mean,light_on_min,mpc_score_max,mpc_score_mean,mpc_score_min,oscillation_penalty_max,oscillation_penalty_mean,oscillation_penalty_min,oscillatory_actuator_reversals,outdoor_cloud_okta_max,outdoor_cloud_okta_mean,outdoor_cloud_okta_min,outdoor_rain_mm_day_max,outdoor_rain_mm_day_mean,outdoor_rain_mm_day_min,outdoor_rh_pct_max,outdoor_rh_pct_mean,outdoor_rh_pct_min,outdoor_solar_w_m2_max,outdoor_solar_w_m2_mean,outdoor_solar_w_m2_min,outdoor_temp_c_max,outdoor_temp_c_mean,outdoor_temp_c_min,outdoor_wind_m_s_max,outdoor_wind_m_s_mean,outdoor_wind_m_s_min,period,rl_q_delta_max,rl_q_delta_mean,rl_q_delta_min,rl_td_error_max,rl_td_error_mean,rl_td_error_min,state_estimation_temp_error_c_max,state_estimation_temp_error_c_mean,state_estimation_temp_error_c_min,state_estimation_uncertainty_radius_max,state_estimation_uncertainty_radius_mean,state_estimation_uncertainty_radius_min,steps,switch_penalty_max,switch_penalty_mean,switch_penalty_min,uct_c_max,uct_c_mean,uct_c_min,ventilation_group_pct_max,ventilation_group_pct_mean,ventilation_group_pct_min
8,12,0.0034197368421052636,0.0014196134868421054,0.00012184210526315909,"{""C04"": 288}",C04,12.124,11.366256093749977,0.161875,275.884,16.861256093749866,10.36,2017-12-18 00:00:00,263.76,3.2054166666666664,0.0,100.0,1.2152777777777777,0.0,1.0,0.011935763888888888,0.0,0.246748,0.24170119097222248,0.13824,59.3732,23.958429861111103,21.1573,15.7995,15.038754166666669,14.5463,2017-12-18 23:55:00,-6.75,-6.987847222222222,-7.5,264359.647598505,264111.76451195194,263865.4822769165,1.0,0.6666666666666666,0.0,2.596711095242965e+31,1.5106961520525883e+30,2.6734431552841606e+24,2.5,0.036458333333333336,0.0,5,0.0,0.0,0.0,19.68,19.680000000000028,19.68,63.0,47.63194444444444,27.0,800.0,253.62581770833333,0.0,10.35,3.874687500000001,-1.66,1.33,0.6122916666666662,0.06,2017-12-18,0.0280443985906932,0.00036232248102555987,5.4635474477926493e-08,0.35055498238366495,0.004414094863091499,-0.000375383021513076,0.0,0.0,0.0,0.05,0.05000000000000024,0.05,288,4.0,0.07968750000000001,0.0,33.25,32.65277777777778,27.0,100.0,98.78472222222223,0.0
6,8,0.003947105263157896,0.0019354751461988303,0.0005078947368421042,"{""C04"": 288}",C04,12.124,11.429207499999976,1.764,275.884,14.863582499999925,10.36,2017-12-19 00:00:00,263.76,1.6027083333333332,0.0,100.0,0.6076388888888888,0.0,1.0,0.007595486111111111,0.0,0.249776,0.2426220069444444,0.138725,60.059,30.421946180555576,24.1045,15.9999,15.23492048611111,14.693,2017-12-19 23:55:00,-6.75,-7.001736111111111,-7.75,264854.48491716385,264609.16243146855,264361.413241148,1.0,0.6666666666666666,0.0,2.829051745723644e+38,1.866956195277322e+37,2.0772159916101257e+31,2.5,0.023220486111111112,0.0,3,8.0,1.2326388888888888,0.0,19.68,19.680000000000028,19.68,64.0,51.78125,34.0,800.0,250.4597902777778,0.0,12.24,6.322343750000001,0.06,1.97,0.687934027777778,0.15,2017-12-19,0.019833636976205042,0.0003319203298574964,8.014045094206779e-09,0.247920462202563,0.003974669330345715,-0.0005953895362262873,0.0,0.0,0.0,0.05,0.05000000000000024,0.05,288,4.0,0.050173611111111106,0.0,32.75,31.421875,26.75,100.0,99.13194444444444,0.0
11,17,0.004215789473684212,0.0025639729532163746,0.001401315789473686,"{""C08"": 288}",C08,12.124,11.278011701388865,0.0,274.12,17.00197003472213,3.059,2017-12-20 00:00:00,263.76,4.808125,0.0,100.0,1.8229166666666667,0.0,1.0,0.008463541666666666,0.0,0.253218,0.24280016319444428,0.113815,61.8235,38.10631979166668,32.2554,16.102,15.474029861111111,15.0325,2017-12-20 23:55:00,-6.75,-6.9140625,-7.5,265351.57056713104,265105.13909761445,264856.2994983196,1.0,0.6666666666666666,0.0,2.24693623005677e+39,8.748511404459383e+38,2.7253255779656055e+38,2.5,0.046875,0.0,7,8.0,3.388888888888889,0.0,19.68,19.680000000000028,19.68,70.0,55.28472222222222,40.0,542.7093,134.00763819444444,0.0,15.13,9.193281250000004,4.1,2.68,1.0731944444444443,0.21,2017-12-20,0.07513936458712588,0.0007453482337906105,1.1675978572878165e-07,0.9392420573390735,0.00915946272471989,-0.0006971999709629584,0.0,0.0,0.0,0.05,0.05000000000000024,0.05,288,4.0,0.10052083333333334,0.0,31.25,30.241319444444443,26.75,100.0,98.17708333333333,0.0
14,18,0.0037605263157894746,0.002287426900584794,0.001875000000000001,"{""C03"": 288}",C03,12.124,11.258901527777756,1.764,265.68588,14.922234861111024,1.92588,2017-12-21 00:00:00,263.76,3.663333333333333,0.0,100.0,1.3888888888888888,0.0,0.375,0.0026041666666666665,0.0,0.248529,0.24100838541666672,0.138095,65.4904,47.9459270833333,41.0142,15.929,15.36922222222224,15.2125,2017-12-21 23:55:00,-6.75,-9.817708333333334,-14.0,265925.14466428757,265621.962440475,265353.2131021023,1.0,0.6666666666666666,0.0,4.311297708171942e+67,7.261266003079157e+65,1.6876313385536397e+39,2.5,0.05642361111111111,0.0,9,8.0,6.684027777777778,1.0,19.68,12.56499999999999,2.88,83.0,74.49826388888889,64.0,135.6846,46.16112222222222,0.0,9.81,7.990833333333326,6.37,1.71,0.8160763888888894,0.12,2017-12-21,0.07064757177382869,0.0008554339612919146,5.345957188040984e-08,0.8830946471728587,0.010580401512118765,-0.0007298071395138717,0.0,0.0,0.0,0.05,0.05000000000000024,0.05,288,4.0,0.10269097222222223,0.0,30.0,27.338541666666668,24.25,100.0,97.82986111111111,0.0
8,10,0.004112631578947367,0.0027384356725146226,0.0019513157894736851,"{""C11"": 288}",C11,12.124,11.3971697222222,1.764,266.819,14.831544722222137,10.36,2017-12-22 00:00:00,263.76,3.4343749999999997,0.0,100.0,1.3020833333333333,0.0,0.5,0.0026041666666666665,0.0,0.251032,0.2437837326388889,0.142943,61.0529,46.485124305555495,40.4977,16.0628,15.540605555555551,15.2415,2017-12-22 23:55:00,-10.25,-13.1953125,-14.25,266550.94698786736,266240.33922587585,265927.254827261,1.0,0.6666666666666666,0.0,1.8854823319605568e+96,3.19582937066076e+94,5.435861171600137e+67,2.5,0.040364583333333336,0.0,4,8.0,5.71875,0.0,11.04,4.724166666666674,2.88,81.0,64.24479166666667,44.0,452.5483,79.45917743055557,0.0,13.94,10.123732638888894,6.74,2.23,1.064791666666667,0.2817,2017-12-22,0.01266319945941382,0.00017560535881441168,2.4567889833626566e-08,0.15828999324267273,0.0021151071430974048,-0.0002496995361227494,0.0,0.0,0.0,0.05,0.05000000000000024,0.05,288,4.0,0.08315972222222223,0.0,27.0,25.770833333333332,22.75,100.0,98.87152777777777,0.0
2,6,0.0036768421052631576,0.00278330409356725,0.002266578947368421,"{""C03"": 288}",C03,12.124,11.473048611111087,1.295,199.11499999999998,12.388881944444414,10.36,2017-12-23 00:00:00,197.82,0.9158333333333333,0.0,75.0,0.3472222222222222,0.0,0.375,0.001736111111111111,0.0,0.256963,0.2500781423611111,0.191845,51.5329,42.08443958333332,37.1696,15.8972,15.557655555555549,15.3613,2017-12-23 23:55:00,-11.5,-11.6484375,-14.0,267061.42087197304,266809.60449695255,266553.1838030815,1.0,0.6666666666666666,0.0,6.420013839610024e+124,1.091508138658421e+123,2.370391725584357e+96,1.0625,0.006510416666666667,0.0,2,8.0,7.715277777777778,6.0,8.4,8.095416666666708,2.88,72.0,56.373263888888886,39.0,200.0,49.16996979166667,0.0,14.31,10.556319444444435,8.19,3.44,2.1272569444444436,0.24,2017-12-23,0.028405761601346807,0.00017140992403510562,8.380034333121955e-09,0.35507202001683513,0.0017993489126190113,-0.001953915930862138,0.0,0.0,0.0,0.05,0.05000000000000024,0.05,288,1.0625,0.010243055555555556,0.0,28.0,27.268229166666668,25.0,100.0,99.65277777777777,50.0
17,21,0.0042592105263157915,0.0031692671783625733,0.0020407894736842085,"{""C06"": 288}",C06,12.124,10.067321684027764,0.161875,202.19063,14.188571684027725,1.764,2017-12-24 00:00:00,197.82,4.12125,0.0,75.0,1.5625,0.0,0.5625,0.007161458333333333,0.0,0.254161,0.22928352256944448,0.0879978,64.577,37.17485000000001,26.3335,16.1185,15.70432152777777,15.2755,2017-12-24 23:55:00,-11.25,-11.551215277777779,-12.0,267557.3587856293,267310.23414361477,267063.1459374428,1.0,0.6666666666666666,0.0,3.705115071910562e+131,2.5792812731382344e+130,6.791996542990581e+124,1.625,0.047526041666666664,0.0,8,8.0,7.875,6.0,8.4,8.400000000000045,8.4,63.0,40.420138888888886,25.0,154.5481,46.2274579861111,0.0,16.8,12.209010416666665,7.36,2.87,2.107222222222222,0.5792,2017-12-24,0.0647302527591809,0.0009934637888912362,4.25932179526356e-08,0.8091281594897612,0.012241270049439451,-0.0007443566071613228,0.0,0.0,0.0,0.05,0.05000000000000024,0.05,288,2.0,0.07317708333333334,0.0,30.25,28.172743055555557,23.5,100.0,86.71875,0.0
12,15,0.0036057894736842124,0.0023080354532163745,0.0013857894736842111,"{""C11"": 288}",C11,12.124,11.309487447916645,0.161875,265.68588,15.430737447916536,1.764,2017-12-25 00:00:00,263.76,3.663333333333333,0.0,100.0,1.3888888888888888,0.0,0.5,0.007161458333333333,0.0,0.257005,0.24482923611111085,0.140913,63.5715,37.91385555555555,22.8165,15.8702,15.376913541666665,15.0266,2017-12-25 23:55:00,-5.25,-11.188368055555555,-14.25,268069.0116405487,267809.1068196487,267558.94624996185,1.0,0.6666666666666666,0.0,6.5408546113821145e+159,1.1448110237385597e+158,4.647248837036914e+131,2.0625,0.043402777777777776,0.0,6,8.0,6.788194444444445,2.0,28.32,9.224166666666688,2.4,83.0,59.526041666666664,30.0,145.627,50.42748680555558,0.0,11.51,8.210659722222223,4.0758,3.46,1.4301388888888888,0.05,2017-12-25,0.05063209359490417,0.000519245372631742,1.8422421588226712e-08,0.6329011699363021,0.006188224867001833,-0.0017605075299017559,0.0,0.0,0.0,0.05,0.05000000000000024,0.05,288,2.8125,0.0857638888888889,0.0,31.0,28.256944444444443,25.5,100.0,98.35069444444444,0.0
6,12,0.0035618421052631593,0.0017247560307017554,0.0006115789473684215,"{""C00"": 288}",C00,12.124,11.381431909722197,1.92588,275.884,15.73164024305545,3.059,2017-12-26 00:00:00,263.76,2.060625,0.0,100.0,0.78125,0.0,1.0,0.012369791666666666,0.0,0.257414,0.24681809722222198,0.167322,47.022,36.02930451388889,26.2699,15.8535,15.154708333333328,14.7324,2017-12-26 23:55:00,-12.5,-12.7890625,-13.5,268546.75094127655,268309.2132002662,268070.9417397976,1.0,0.6666666666666666,0.0,3.6843010002332826e+160,1.659106541442739e+160,5.652610407455782e+159,1.625,0.024305555555555556,0.0,5,4.0,1.3715277777777777,0.0,6.0,6.0,6.0,80.0,65.39236111111111,43.0,800.0,235.86483333333348,0.0,12.32,5.525399305555552,0.58,3.54,1.6340104166666662,0.03,2017-12-26,0.06914371605168194,0.0005492377574132884,1.1871067584490191e-07,0.8642964506460243,0.006703353398971302,-0.0011824536448767908,0.0,0.0,0.0,0.05,0.05000000000000024,0.05,288,2.25,0.05190972222222222,0.0,29.75,27.59722222222222,25.75,100.0,99.04513888888889,25.0
6,10,0.003696578947368421,0.0012561065423976597,0.00043157894736842026,"{""C07"": 288}",C07,12.124,11.396607638888867,0.0,265.524,13.915149305555499,0.0,2017-12-27 00:00:00,263.76,2.2895833333333333,0.0,100.0,0.8680555555555556,0.0,0.25,0.001736111111111111,0.0,0.260163,0.25070392708333344,0.140886,59.042,34.164181597222196,29.0036,15.9047,14.977250347222236,14.664,2017-12-27 23:55:00,-12.5,-12.78732638888889,-13.5,269024.68335032463,268786.2749610792,268548.3318595886,1.0,0.6666666666666666,0.0,4.420426384088263e+188,7.008432734329585e+186,1.5290138620107632e+160,2.5,0.03211805555555555,0.0,4,2.0,0.7291666666666666,0.0,6.0,6.0,6.0,80.0,68.51909722222223,49.0,760.1077,243.87648368055554,0.0,9.16,3.7966840277777774,0.34,4.1,2.549131944444442,0.91,2017-12-27,0.07321012485430406,0.00045116879624001777,1.51192298680769e-08,0.9151265606788008,0.005553088388299545,-0.00045210961282038387,0.0,0.0,0.0,0.05,0.05000000000000024,0.05,288,4.0,0.07382812500000001,0.0,29.0,27.90277777777778,24.0,100.0,98.78472222222223,0.0
14,18,0.0037034210526315776,0.0015066739766081865,0.00037263157894736943,"{""C00"": 288}",C00,12.124,11.276887604166646,0.0,266.819,15.627095937499897,1.764,2017-12-28 00:00:00,263.76,4.12125,0.0,100.0,1.5625,0.0,0.5625,0.006727430555555556,0.0,0.24996,0.24325535069444446,0.138046,58.64,28.708457638888902,21.7802,15.9073,15.072466319444437,14.6416,2017-12-28 23:55:00,-12.5,-12.688368055555555,-13.5,269535.49574160576,269280.4656403404,269026.42484021187,1.0,0.6666666666666666,0.0,8.577882919358126e+189,2.2785479565399295e+189,3.167420080760798e+188,1.5,0.04578993055555555,0.0,8,8.0,1.8194444444444444,0.0,6.0,6.0,6.0,71.0,53.83680555555556,40.0,741.7418,169.22414652777792,0.0,9.92,4.4689583333333305,-0.4,2.01,1.2458854166666677,0.11,2017-12-28,0.01864075804687737,0.00036205775219735203,9.958204105764423e-08,0.23300947558596719,0.004370488641710606,-0.0005065697883998022,0.0,0.0,0.0,0.05,0.05000000000000024,0.05,288,2.25,0.09422743055555556,0.0,30.75,29.00173611111111,23.75,100.0,98.00347222222223,0.0
