comfort_error_mean,comfort_violation_rate,conflict_penalty_mean,context_counts_json,dominant_climate_context_id,energy_kwh_normalized,first_timestamp,last_timestamp,learning_elapsed_sec,mpc_cost_mean,oscillation_penalty_mean,period,prediction_error_mean,reward_mean,rl_q_delta_mean,rl_td_error_mean,steps,switching_penalty_mean,uncertainty_radius_mean
0.004053216374268998,0.0,0.005460349462365592,"{""C06"": 2304, ""C03"": 288, ""C05"": 2880, ""C10"": 2304, ""C02"": 1152}",C05,4043.9090354162445,2017-05-01 00:00:00,2017-05-31 23:55:00,162201.60001969337,inf,0.0282538082437276,2017-05,0.0,0.9145141720522704,0.0008204704690995192,0.010255880863744023,8928,0.059508848566308316,0.05000000000000753
0.004285159173976608,0.0,0.004361979166666667,"{""C02"": 4608, ""C05"": 288, ""C10"": 3744}",C02,2538.3250595831487,2017-06-01 00:00:00,2017-06-30 23:55:00,177824.05119609833,2.790387256537086e+168,0.02405960648148148,2017-06,0.0,0.9382425356297039,0.0003113191233387904,0.0038914890417348818,8640,0.047771990740740795,0.0500000000000074
0.004311958769571771,0.0,0.005264336917562724,"{""C02"": 2016, ""C10"": 6336, ""C05"": 576}",C10,2524.6423854165055,2017-07-01 00:00:00,2017-07-31 23:55:00,193451.71411442757,9.331603554164119e+199,0.02457157258064516,2017-07,0.0,0.9424876678394686,0.00045756264096004584,0.005719533012000566,8928,0.04931955645161295,0.05000000000000753
0.004290066378985084,0.0,0.004893313172043011,"{""C10"": 8352, ""C02"": 576}",C10,2435.5083254164856,2017-08-01 00:00:00,2017-08-31 23:55:00,209190.0344865322,2.022423083527863e+219,0.023227486559139785,2017-08,0.0,0.9428258518162492,0.00022395152295759553,0.0027993940369699264,8928,0.04538530465949824,0.05000000000000753
0.004172530336257308,0.0,0.004991319444444444,"{""C10"": 5760, ""C02"": 1152, ""C05"": 1728}",C10,3159.3938554164265,2017-09-01 00:00:00,2017-09-30 23:55:00,224657.32416653633,3.3035803063630832e+274,0.026041666666666668,2017-09,0.0,0.9268335706387907,0.0002799856073981879,0.0034998200924773316,8640,0.054296875000000036,0.0500000000000074
0.003595402606819454,0.0,0.005908378136200717,"{""C02"": 288, ""C05"": 6336, ""C07"": 864, ""C03"": 576, ""C00"": 288, ""C06"": 576}",C05,6305.372668333323,2017-10-01 00:00:00,2017-10-31 23:55:00,240229.60950016975,inf,0.029730902777777776,2017-10,0.0,0.8705073389118635,0.0006069030559890795,0.007586288199863497,8928,0.06580253136200724,0.05000000000000753
0.0025719805677387893,0.0,0.013411458333333333,"{""C06"": 2304, ""C08"": 1152, ""C00"": 3168, ""C07"": 1152, ""C04"": 288, ""C11"": 576}",C00,8747.106603750759,2017-11-01 00:00:00,2017-11-30 23:55:00,255194.60816717148,inf,0.030164930555555556,2017-11,0.0,0.813192217679343,0.0005141076761696701,0.006426345952120881,8640,0.07157638888888895,0.0500000000000074
0.001567258565600828,0.0,0.06947944668458782,"{""C00"": 2880, ""C07"": 576, ""C03"": 864, ""C04"": 3456, ""C08"": 288, ""C11"": 576, ""C06"": 288}",C04,10207.41199333409,2017-12-01 00:00:00,2017-12-31 23:55:00,271092.02900648117,inf,0.042464717741935484,2017-12,0.0,0.7241702034740423,0.0005612107956102361,0.007015134945127921,8928,0.16434195788530429,0.05000000000000753
0.0011283241369552928,0.0,0.08760360663082438,"{""C07"": 2016, ""C11"": 1728, ""C00"": 3456, ""C04"": 1152, ""C03"": 576}",C00,15676.259439584033,2018-01-01 00:00:00,2018-01-31 23:55:00,286532.23937773705,inf,0.05231826836917562,2018-01,0.0,0.7408868812509565,0.0013902159563546864,0.017377699454433567,8928,0.17133260528673838,0.05000000000000753
0.0015194933623120302,0.0,0.06704954117063493,"{""C04"": 3456, ""C03"": 2592, ""C07"": 288, ""C11"": 1440, ""C00"": 288}",C04,9301.201837917504,2018-02-01 00:00:00,2018-02-28 23:55:00,301092.7937400341,inf,0.044115823412698416,2018-02,0.0,0.7229027633644409,0.0005284419290220176,0.006605524112775228,8064,0.1670473710317457,0.050000000000007115
