fattening_day,doy,rad,mint,maxt,vpr,wind,rain,aha,okta,growth_start_date,growth_date,tbw_kg,genetic_potential_tbw_kg,feed_intake_kg_dm_day,feed1_available_kg_dm_day,feed2_available_kg_dm_day,feed3_available_kg_dm_day,feed4_available_kg_dm_day,beef_production_kg,beef_event_kg,me_uptake_mj_day,heat_production,genotype,heat_stress,cold_stress,digestion_cap,energy,protein,scale,breed,diet,sex_animal,housing,case_id
100,100,0,8.61348,14.3337,0.778,1.1,1.0,0.478020575,5.625611076,1998-01-01,1998-04-10,162.08203885864498,168.48872367368102,1.8306178795894958,0.0915308939794748,1.739086985610021,0.0,0.0,63.33816308127531,0.0,16.63829827934309,7.197709499012525,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
101,101,0,8.2668,13.20699,0.693,1.4,1.0,0.474686139,7.308617172,1998-01-01,1998-04-11,163.48838658720294,169.78905796379138,1.8554568918019996,0.09277284459009999,1.7626840472118996,0.0,0.0,63.87294968421285,0.0,16.864057515480646,7.208987898854966,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
102,102,0,7.746779999999999,12.686969999999999,0.723,1.55,5.4,0.471447102,6.795731706,1998-01-01,1998-04-12,164.89803054118607,171.09014065786073,1.8802194786736155,0.0940109739336808,1.7862085047399348,0.0,0.0,64.41021823941959,0.0,17.08912212952805,7.2202018095876035,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
103,103,0,5.753369999999999,10.78023,0.638,1.1,1.0,0.468300807,6.721760266,1998-01-01,1998-04-13,166.31094495266564,172.39195927720812,1.9045467004278667,0.09522733502139336,1.8093193654064734,0.0,0.0,64.94995664886818,0.0,17.31022975464626,7.231351595320316,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
104,104,0,3.1532699999999996,14.94039,0.528,1.8,0.4,0.465244685,2.709544787,1998-01-01,1998-04-14,167.72701317273768,173.69450135859898,1.9311637578385457,0.09655818789192729,1.8346055699466184,0.0,0.0,65.49211815747793,0.0,17.552149461350197,7.24357916262354,5.5,0.0,3.5,0.0,0.0,0.0,1,6,5,0,0,5
105,105,0,10.78023,15.28707,0.798,2.5,4.0,0.475908629,7.163162827,1998-01-01,1998-04-15,168.77401637187947,174.99775445457874,1.9667919203062958,0.09833959601531479,1.868452324290981,0.0,0.0,66.32927068622169,0.0,17.875970178329233,7.277657928330321,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
106,106,0,6.79341,15.807089999999999,0.658,2.3,2.0,0.472760827,4.311905485,1998-01-01,1998-04-16,170.19833273097598,176.30170613380477,1.9908990982926138,0.0995449549146307,1.891354143377983,0.0,0.0,66.87242261179063,0.0,18.095077848193963,7.288390449621259,5.5,0.0,3.5,0.0,0.0,0.0,1,6,5,0,0,5
107,107,0,11.30025,15.980430000000002,0.748,2.5,9.0,0.4697056,6.117003109,1998-01-01,1998-04-17,171.6241377582042,177.60634398137523,2.015032021330131,0.10075160106650656,1.9142804202636245,0.0,0.0,67.41737936692803,0.0,18.31441951219033,7.299111677329648,5.5,0.0,3.5,0.0,0.0,0.0,1,6,5,0,0,5
108,108,0,8.18013,13.38033,0.738,2.5,3.4,0.466740365,6.829557295,1998-01-01,1998-04-18,173.04787226698778,178.91165559915618,2.039223760802622,0.1019611880401311,1.9372625727624908,0.0,0.0,67.96277135158024,0.0,18.5342957527358,7.30994367232255,5.5,0.0,3.5,0.0,0.0,0.0,1,6,5,0,0,5
109,109,0,8.786819999999999,15.980430000000002,0.803,0.8,2.0,0.463862624,5.305533838,1998-01-01,1998-04-19,174.46961030911677,180.2176286061058,2.0656648784736364,0.10328324392368182,1.9623816345499545,0.0,0.0,68.50860590191436,0.0,18.77461636117878,7.297429124345631,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
110,110,0,8.44014,18.23385,0.968,1.2,1.0,0.461069968,5.472348433,1998-01-01,1998-04-20,175.51858676104126,181.52425063859556,2.100872187428172,0.10504360937140861,1.9958285780567633,0.0,0.0,69.3484991185482,0.0,19.094611983711378,7.354451520036196,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
111,111,0,11.04024,22.914029999999997,1.078,0.8,0.0,0.458360066,2.832679165,1998-01-01,1998-04-21,176.9460321492975,182.8315093507303,1.8906439440179996,0.0945321972009,1.7961117468170997,0.0,0.0,69.89486997252767,0.0,17.183869026592905,7.079403134094644,0.0,4.5,0.0,0.0,0.0,0.0,1,6,5,0,0,5
112,112,0,10.69356,24.99411,0.993,1.15,0.0,0.455730671,1.554370411,1998-01-01,1998-04-22,178.31614819334166,184.13939241466426,2.1495641639599152,0.10747820819799576,2.0420859557619195,0.0,0.0,70.42049960526118,0.0,19.53716836774909,7.377587033518013,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
113,113,0,12.86031,22.567349999999998,1.133,1.4,0.0,0.453179608,3.245883707,1998-01-01,1998-04-23,179.74021571857023,185.44788752091557,2.173709753185359,0.10868548765926796,2.065024265526091,0.0,0.0,70.96791797808253,0.0,19.7566251534293,7.388316901292398,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
114,114,0,13.29366,19.70724,1.043,1.3,0.0,0.463429149,6.371676005,1998-01-01,1998-04-24,181.1623523686256,186.75698237867778,2.04153498406115,0.1020767492030575,1.9394582348580922,0.0,0.0,71.5158112503635,0.0,18.55530222404491,7.288857725415854,0.0,4.5,0.0,0.0,0.0,0.0,1,6,5,0,0,5
115,115,0,12.77364,22.30734,1.243,1.05,6.0,0.460806845,5.183341196,1998-01-01,1998-04-25,182.20439318918477,188.06666471612908,2.2346967954637105,0.11173483977318553,2.122961955690525,0.0,0.0,72.3513141762641,0.0,20.310930129861443,7.431891791897405,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
116,116,0,15.63375,19.62057,1.323,1.4,52.0,0.458264942,7.064860062,1998-01-01,1998-04-26,183.63201578512474,189.37692228073917,2.258819420331696,0.1129409710165848,2.145878449315111,0.0,0.0,72.89981973864505,0.0,20.530178194850436,7.442562983145972,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
